Rk,Tm,Age,W,L,WL%,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%
1,New York Knicks,28.4,16,3,0.842,120.4,104.9,15.5,95.7,0.297,0.395,0.6
2,San Antonio Spurs,24.3,13,10,0.565,114.3,106.7,7.6,97.4,0.3,0.414,0.575
3,Oklahoma City Thunder,25.2,11,4,0.733,119.3,112,7.3,95.5,0.254,0.416,0.588
4,Boston Celtics,28,3,4,0.429,113.7,110.7,3,93.7,0.228,0.525,0.551
5,Detroit Pistons,26.5,7,7,0.5,110.7,109,1.7,94.1,0.303,0.358,0.554
6,Toronto Raptors,24.2,3,4,0.429,111.7,113.4,-1.7,97.2,0.301,0.343,0.561
7,Houston Rockets,24.3,2,4,0.333,105.8,108.5,-2.7,91.6,0.285,0.386,0.51
8,Cleveland Cavaliers,28.9,8,10,0.444,111.5,114.7,-3.2,95.2,0.339,0.464,0.572
9,Denver Nuggets,28.2,2,4,0.333,109.1,113.7,-4.6,98.5,0.362,0.386,0.556
10,Orlando Magic,24.7,3,4,0.429,102.4,107.4,-5,95.4,0.341,0.408,0.509
11,Los Angeles Lakers,29.5,4,6,0.4,109,114.2,-5.2,92.8,0.315,0.348,0.579
12,Minnesota Timberwolves,28,6,6,0.5,108.3,114.1,-5.8,99.9,0.264,0.342,0.532
13,Philadelphia 76ers,26.9,4,7,0.364,109.9,120.5,-10.6,93.8,0.268,0.395,0.555
14,Portland Trail Blazers,26.4,1,4,0.2,104.3,117.3,-13,95.9,0.248,0.432,0.508
15,Atlanta Hawks,26.1,2,4,0.333,103.9,122,-18.1,96.6,0.265,0.434,0.537
16,Phoenix Suns,26.5,0,4,0,110.8,129,-18.2,95.2,0.229,0.435,0.556
,League Average,26.7,,,,112,112,,95.7,0.292,0.404,0.562
